#include Reservado
<stdio.h> Reservado
int Reservado
main Variavel/Funcao
( Delimitador
) Delimitador
{ Delimitador
int Reservado
a Variavel/Funcao
= Atribuicao
1 Numero
; Reservado
int Reservado
b Variavel/Funcao
= Atribuicao
3 Numero
; Reservado
int Reservado
c Variavel/Funcao
= Atribuicao
00.9 Numero
; Reservado
if Reservado
( Delimitador
a Variavel/Funcao
> Comparacao
b Variavel/Funcao
) Delimitador
{ Delimitador
int Reservado
soma Variavel/Funcao
= Atribuicao
a Variavel/Funcao
+ Operador
b Variavel/Funcao
; Reservado
} Delimitador
while Reservado
( Delimitador
soma Variavel/Funcao
< Comparacao
100 Numero
) Delimitador
{ Delimitador
soma Variavel/Funcao
= Atribuicao
soma Variavel/Funcao
+ Operador
a Variavel/Funcao
; Reservado
} Delimitador
printf Variavel/Funcao
( Delimitador
"Ola mundo!"  Literal
) Delimitador
; Reservado
return Reservado
0 Numero
; Reservado
} Delimitador
